process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
attention,map,fev,digit_f,Women,935," .07( .02), $p$<.01 **",0.066,0.024,0.005," .00( .00), $p$=.98  ",0,0.001,0.982," .00( .01), $p$=.46  ",0.004,0.006,0.464
attention,map,fev,digit_f,Men,321," .06( .06), $p$=.27  ",0.06,0.055,0.273," .00( .00), $p$=.78  ",0.001,0.003,0.777,"-.01( .01), $p$=.56  ",-0.007,0.011,0.561
attention,map,fev100,digit_f,Women,935,"6.62(2.34), $p$<.01 **",6.62,2.34,0.005," .00( .10), $p$=.98  ",0.002,0.099,0.985," .41( .53), $p$=.45  ",0.406,0.533,0.446
attention,map,fev100,digit_f,Men,321,"5.99(5.31), $p$=.26  ",5.992,5.312,0.259," .09( .20), $p$=.65  ",0.092,0.2,0.647,"-.65(1.11), $p$=.56  ",-0.653,1.108,0.556
attention,octo,pef,digit_f,Women,276,"-.03(5.00), $p$=.99  ",-0.027,5.002,0.996,"-.12( .11), $p$=.28  ",-0.122,0.114,0.284," .46(1.85), $p$=.80  ",0.458,1.852,0.805
attention,octo,pef,digit_f,Men,138,"-7.21(11.26), $p$=.52  ",-7.211,11.258,0.522," .36( .19), $p$=.06 .",0.359,0.189,0.058," .45(2.57), $p$=.86  ",0.449,2.567,0.861
attention,satsa,fev,digit_f,Women,409," .02( .02), $p$=.37  ",0.021,0.024,0.37," .00( .00), $p$=.92  ",0,0,0.922," .02( .01), $p$=.01 **",0.02,0.008,0.01
attention,satsa,fev,digit_f,Men,299," .07( .04), $p$=.12  ",0.068,0.044,0.12," .00( .00), $p$=.75  ",0,0,0.749," .01( .01), $p$=.36  ",0.013,0.014,0.36
attention,hrs,pef,serial7,Women,4608,"9.13(1.94), $p$<.01 ***",9.133,1.939,0," .16( .05), $p$<.01 **",0.157,0.05,0.002,"-1.11( .92), $p$=.22  ",-1.113,0.917,0.225
attention,hrs,pef,serial7,Men,3287,"13.68(3.34), $p$<.01 ***",13.679,3.342,0," .15( .09), $p$=.10 .",0.149,0.09,0.096,"2.17(1.87), $p$=.25  ",2.172,1.872,0.246
