process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
attention,map,b1,female,aehplus,fev,digit_f,935,0.128,0.045,0.004,0.0398,0.2162,0.013,0.603,0.982,-1.1688800000000001,1.19488,0.021,0.029,0.461,-0.03584,0.07784
attention,map,b1,male,aehplus,fev,digit_f,321,0.079,0.072,0.272,-0.062119999999999995,0.22011999999999998,0.261,1.026,0.799,-1.7499599999999997,2.27196,-0.025,0.043,0.562,-0.10927999999999999,0.05927999999999999
attention,map,b1,female,aehplus,fev100,digit_f,935,0.128,0.045,0.004,0.0398,0.2162,0.009,0.483,0.985,-0.93768,0.95568,0.021,0.028,0.443,-0.033879999999999993,0.07588
attention,map,b1,male,aehplus,fev100,digit_f,321,0.079,0.07,0.257,-0.058200000000000016,0.2162,0.261,0.457,0.568,-0.6347200000000001,1.15672,-0.025,0.042,0.558,-0.10732,0.05732
attention,octo,b1,female,aehplus,pef,digit_f,276,-0.001,0.104,0.996,-0.20484,0.20284,-0.297,0.252,0.237,-0.79092,0.19691999999999998,0.013,0.052,0.805,-0.08892,0.11492
attention,octo,b1,male,aehplus,pef,digit_f,138,-0.088,0.136,0.519,-0.35456,0.17856000000000002,0.626,0.169,0,0.29475999999999997,0.9572400000000001,0.011,0.061,0.861,-0.10856,0.13056
attention,satsa,b1,female,aehplus,fev,digit_f,409,0.086,0.096,0.371,-0.10216,0.27415999999999996,0.059,0.614,0.923,-1.1444400000000001,1.26244,0.108,0.041,0.009,0.027639999999999998,0.18836
attention,satsa,b1,male,aehplus,fev,digit_f,299,0.15,0.094,0.109,-0.03423999999999999,0.33424,0.197,0.612,0.747,-1.0025199999999999,1.39652,0.048,0.053,0.36,-0.05588,0.15188000000000001
attention,hrs,b1,female,aehplus,pef,serial7,4608,0.133,0.028,0,0.07812000000000001,0.18788,0.375,0.128,0.003,0.12412000000000001,0.62588,-0.024,0.02,0.224,-0.0632,0.015199999999999998
attention,hrs,b1,male,aehplus,pef,serial7,3287,0.161,0.039,0,0.08456000000000001,0.23743999999999998,0.213,0.129,0.098,-0.039840000000000014,0.46584000000000003,0.033,0.028,0.244,-0.021879999999999997,0.08788
episodic memory,map,b1,female,aehplus,fev,bstory_de,935,0.019,0.058,0.738,-0.09468,0.13268,-0.019,0.47,0.968,-0.9401999999999999,0.9021999999999999,-0.037,0.027,0.168,-0.08992,0.015920000000000004
episodic memory,map,b1,male,aehplus,fev,bstory_de,321,0.126,0.101,0.211,-0.07196,0.32396,0.644,2.086,0.758,-3.444559999999999,4.732559999999999,-0.02,0.046,0.659,-0.11016,0.07015999999999999
episodic memory,map,b1,female,aehplus,fev100,bstory_de,935,0.019,0.058,0.736,-0.09468,0.13268,-0.019,0.389,0.962,-0.78144,0.74344,-0.037,0.026,0.157,-0.08796,0.01396
