process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
episodic memory,hrs,gait,word_de,Women,370," .03( .02), $p$=.17  ",0.027,0.02,0.166," .00( .00), $p$=.53  ",0,0.001,0.53," .01( .01), $p$=.15  ",0.015,0.011,0.149
episodic memory,hrs,gait,word_de,Men,318," .01( .02), $p$=.65  ",0.008,0.017,0.653," .00( .00), $p$=.96  ",0,0.001,0.957," .00( .01), $p$=.60  ",0.005,0.01,0.6
episodic memory,map,gait,word_de,Women,935," .05( .01), $p$<.01 ***",0.046,0.013,0," .00( .00), $p$<.01 **",0.003,0.001,0.002,"-.00( .00), $p$=.46  ",-0.003,0.004,0.465
episodic memory,map,gait,word_de,Men,321," .06( .02), $p$<.01 **",0.064,0.02,0.002," .00( .00), $p$=.13  ",0.004,0.002,0.129,"-.00( .01), $p$=.65  ",-0.003,0.007,0.649
episodic memory,map,gait,word_rec,Women,935," .01( .00), $p$=.08 .",0.009,0.005,0.076," .00( .00), $p$=.97  ",0,0,0.971," .00( .00), $p$=.87  ",0,0.002,0.873
episodic memory,map,gait,word_rec,Men,321," .01( .01), $p$=.49  ",0.009,0.013,0.495,"-.00( .00), $p$=.65  ",-0.001,0.001,0.652," .00( .00), $p$=.36  ",0.004,0.005,0.362
executive function,eas,gait,trailsb,Women,362,"-4.86(107.76), $p$=.96  ",-4.863,107.756,0.964,"3.36(6.59), $p$=.61  ",3.359,6.587,0.61,"-4.35(25.36), $p$=.86  ",-4.35,25.362,0.864
executive function,eas,gait,trailsb,Men,221,"-225.90(171.18), $p$=.19  ",-225.903,171.176,0.187,"-7.09(13.23), $p$=.59  ",-7.094,13.231,0.592,"57.56(34.95), $p$=.10 .",57.565,34.952,0.1
fluency,eas,gait,categories,Women,363,"11.43(13.72), $p$=.40  ",11.432,13.718,0.405," .67( .92), $p$=.46  ",0.674,0.92,0.464," .43(2.70), $p$=.87  ",0.429,2.704,0.874
fluency,eas,gait,categories,Men,222,"44.15(25.45), $p$=.08 .",44.148,25.448,0.083,"1.74(1.19), $p$=.14  ",1.74,1.192,0.144," .06(3.21), $p$=.98  ",0.065,3.206,0.984
fluency,map,gait,categories,Women,935," .18( .05), $p$<.01 ***",0.183,0.049,0," .01( .00), $p$=.02 *",0.01,0.004,0.021,"-.01( .02), $p$=.32  ",-0.015,0.016,0.324
fluency,map,gait,categories,Men,321," .39( .09), $p$<.01 ***",0.386,0.089,0," .02( .01), $p$=.04 *",0.016,0.008,0.036," .02( .03), $p$=.38  ",0.023,0.026,0.376
fluency,eas,gait,fas,Women,361,"67.83(23.06), $p$<.01 **",67.831,23.064,0.003,"2.08(1.10), $p$=.06 .",2.084,1.102,0.059,"-.79(3.33), $p$=.81  ",-0.793,3.333,0.812
fluency,eas,gait,fas,Men,222,"26.13(28.93), $p$=.37  ",26.133,28.929,0.366," .81(1.55), $p$=.60  ",0.814,1.549,0.599," .86(4.62), $p$=.85  ",0.865,4.615,0.851
fluency,elsa,gait,fluency,Women,2226," .16( .03), $p$<.01 ***",0.158,0.029,0," .00( .00), $p$=.20  ",0.001,0.001,0.198," .02( .01), $p$=.09 .",0.019,0.011,0.093
fluency,elsa,gait,fluency,Men,1947," .20( .03), $p$<.01 ***",0.199,0.034,0," .00( .00), $p$=.28  ",0.001,0.001,0.276,"-.01( .01), $p$=.34  ",-0.011,0.012,0.345
fluency,ilse,tug,fluency,Women,225," .11(1.56), $p$=.94  ",0.112,1.564,0.943," .00( .02), $p$=.80  ",0.004,0.017,0.795,"-.66( .70), $p$=.34  ",-0.664,0.7,0.343
fluid reasoning,eas,gait,block,Women,351,"16.75(14.11), $p$=.23  ",16.749,14.113,0.235," .19( .84), $p$=.82  ",0.19,0.845,0.822,"1.10(2.26), $p$=.62  ",1.103,2.256,0.625
fluid reasoning,eas,gait,block,Men,210,"45.46(19.66), $p$=.02 *",45.457,19.658,0.021," .22(1.21), $p$=.86  ",0.22,1.211,0.856,"-3.20(3.46), $p$=.35  ",-3.196,3.455,0.355
fluid reasoning,ilse,tug,block,Women,225,"-.37(1.33), $p$=.78  ",-0.374,1.329,0.778,"-.00( .01), $p$=.92  ",-0.002,0.015,0.918," .25( .47), $p$=.60  ",0.247,0.466,0.596
fluid reasoning,ilse,tug,block,Men,252,"-1.75(1.14), $p$=.12  ",-1.75,1.139,0.124," .00( .02), $p$=.90  ",0.002,0.016,0.904," .25( .53), $p$=.64  ",0.25,0.528,0.636
fluid reasoning,octo,gait,block,Women,273,"-8.56(3.00), $p$<.01 **",-8.557,2.999,0.004,"-.21( .63), $p$=.74  ",-0.207,0.627,0.741,"-1.66( .66), $p$=.01 *",-1.655,0.664,0.013
fluid reasoning,octo,gait,block,Men,137,"-4.56(1.81), $p$=.01 *",-4.561,1.81,0.012,"-.04( .10), $p$=.69  ",-0.039,0.096,0.688,"-.78( .74), $p$=.29  ",-0.779,0.739,0.292
fluid reasoning,octo,gait,fig_logic,Women,270,"-4.50(2.83), $p$=.11  ",-4.495,2.832,0.112," .04( .17), $p$=.80  ",0.043,0.172,0.804,"-.52( .65), $p$=.42  ",-0.523,0.651,0.422
fluid reasoning,octo,gait,fig_logic,Men,135,"-2.32(1.32), $p$=.08 .",-2.317,1.321,0.079," .00( .07), $p$=.99  ",0.001,0.072,0.991,"-.27( .68), $p$=.69  ",-0.271,0.679,0.69
fluid reasoning,lasa,gait,raven_color_ab,Women,782,"-.95( .42), $p$=.02 *",-0.954,0.425,0.025,"-.02( .01), $p$=.02 *",-0.02,0.008,0.017," .25( .28), $p$=.37  ",0.254,0.284,0.371
fluid reasoning,lasa,gait,raven_color_ab,Men,800,"-.70( .37), $p$=.06 .",-0.702,0.367,0.056,"-.01( .01), $p$=.07 .",-0.013,0.007,0.067," .15( .16), $p$=.36  ",0.149,0.163,0.361
fluid reasoning,map,gait,raven_standard,Women,935," .06( .01), $p$<.01 ***",0.061,0.015,0," .00( .00), $p$=.97  ",0,0.002,0.968," .00( .01), $p$=.83  ",0.002,0.007,0.826
fluid reasoning,map,gait,raven_standard,Men,321," .09( .03), $p$<.01 **",0.088,0.03,0.003," .00( .00), $p$=.36  ",0.003,0.004,0.36," .03( .01), $p$=.01 **",0.028,0.011,0.008
fluid reasoning,ilse,tug,spatial_ab,Women,225," .17(1.13), $p$=.88  ",0.17,1.132,0.88,"-.00( .01), $p$=.93  ",-0.001,0.012,0.927,"-.35( .50), $p$=.48  ",-0.349,0.499,0.484
fluid reasoning,ilse,tug,spatial_ab,Men,252,"-1.18( .78), $p$=.13  ",-1.177,0.782,0.132,"-.00( .01), $p$=.85  ",-0.002,0.013,0.853," .18( .39), $p$=.64  ",0.182,0.393,0.643
mental status,octo,gait,clock,Women,276,"-.90( .55), $p$=.10  ",-0.903,0.553,0.103,"-.08( .17), $p$=.65  ",-0.077,0.171,0.65,"-1.37( .94), $p$=.14  ",-1.374,0.941,0.144
mental status,octo,gait,clock,Men,137,"-1.16( .67), $p$=.08 .",-1.161,0.672,0.084,"-.01( .06), $p$=.89  ",-0.008,0.06,0.893,"-.68( .30), $p$=.02 *",-0.685,0.3,0.022
mental status,eas,gait,mmse,Women,363,"2.69(2.33), $p$=.25  ",2.686,2.326,0.248," .02( .16), $p$=.92  ",0.016,0.163,0.923,"-.37( .51), $p$=.47  ",-0.37,0.511,0.468
mental status,eas,gait,mmse,Men,222,"6.09(4.61), $p$=.19  ",6.093,4.609,0.186,"-.06( .30), $p$=.84  ",-0.061,0.298,0.837,"-.25( .95), $p$=.79  ",-0.253,0.951,0.791
mental status,map,gait,mmse,Women,935," .03( .01), $p$<.01 ***",0.031,0.009,0.001," .00( .00), $p$=.37  ",0.001,0.001,0.368," .01( .00), $p$=.01 **",0.012,0.004,0.008
mental status,map,gait,mmse,Men,321," .10( .03), $p$<.01 ***",0.103,0.029,0," .00( .00), $p$=.49  ",0.002,0.003,0.49," .01( .01), $p$=.50  ",0.006,0.008,0.503
mental status,octo,gait,mmse,Women,276,"-1.33( .59), $p$=.02 *",-1.334,0.594,0.025,"-.04( .09), $p$=.66  ",-0.038,0.087,0.658,"-.06( .52), $p$=.91  ",-0.058,0.525,0.913
mental status,octo,gait,mmse,Men,140,"-1.56( .96), $p$=.10  ",-1.56,0.961,0.104,"-.03( .04), $p$=.48  ",-0.03,0.043,0.482,"-.84( .55), $p$=.13  ",-0.843,0.551,0.126
perceptual speed,lasa,gait,letter,Women,782,"-2.62( .98), $p$=.01 **",-2.622,0.98,0.007,"-.02( .01), $p$=.09 .",-0.019,0.011,0.088,"-.47( .20), $p$=.02 *",-0.472,0.203,0.02
perceptual speed,lasa,gait,letter,Men,800,"-1.88( .56), $p$<.01 ***",-1.882,0.558,0.001,"-.04( .01), $p$=.02 *",-0.035,0.015,0.016,"-.22( .28), $p$=.43  ",-0.221,0.278,0.427
perceptual speed,map,gait,num_comp,Women,935," .10( .04), $p$=.03 *",0.095,0.043,0.028," .00( .00), $p$=.22  ",0.004,0.003,0.217," .03( .01), $p$=.02 *",0.029,0.013,0.025
perceptual speed,map,gait,num_comp,Men,321," .17( .06), $p$=.01 **",0.173,0.063,0.006,"-.00( .00), $p$=.28  ",-0.005,0.005,0.282," .04( .02), $p$=.06 .",0.04,0.021,0.058
perceptual speed,octo,gait,psif,Women,262,"-2.18(2.45), $p$=.38  ",-2.177,2.454,0.375,"-.25( .77), $p$=.74  ",-0.254,0.772,0.742,"-.65( .56), $p$=.25  ",-0.648,0.56,0.247
