process_b_domain,study,model_number,subgroup,model_type,process_a,process_b,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
semantic memory,map,b1,female,aehplus,gait,bnt,935," .02( .01), $p$<.01 ***"," .18( .04), $p$<.01 ***","( .09, .26)"," .18( .11, .24)"," .00( .00), $p$=.10 ."," .28( .17), $p$=.11  ","(-.06, .62)"," .20( .14, .26)","-.00( .00), $p$=.69  ","-.01( .02), $p$=.69  ","(-.06, .04)","-.01(-.08, .05)"
semantic memory,map,b1,male,aehplus,gait,bnt,321," .04( .02), $p$=.01 **"," .31( .07), $p$<.01 ***","( .17, .45)"," .31( .20, .40)","-.00( .00), $p$=.31  ","-.63( .77), $p$=.41  ","(-2.13, .87)","-.41(-.50,-.31)","-.00( .00), $p$=.48  ","-.03( .04), $p$=.48  ","(-.12, .06)","-.03(-.14, .08)"
semantic memory,octo,b1,female,aehplus,gait,information,275,"-3.15(2.80), $p$=.26  ","-.10( .09), $p$=.25  ","(-.28, .07)","-.10(-.22, .01)"," .02( .04), $p$=.61  "," .04( .08), $p$=.61  ","(-.11, .19)"," .04(-.08, .16)","-.72( .51), $p$=.15  ","-.05( .04), $p$=.17  ","(-.13, .02)","-.05(-.17, .07)"
semantic memory,octo,b1,male,aehplus,gait,information,140,"-2.86(1.95), $p$=.14  ","-.21( .14), $p$=.13  ","(-.47, .06)","-.21(-.36,-.04)","-.02( .10), $p$=.83  ","-.14( .60), $p$=.82  ","(-1.31,1.04)","-.13(-.29, .03)","-.90( .81), $p$=.27  ","-.11( .09), $p$=.25  ","(-.29, .08)","-.11(-.27, .06)"
semantic memory,map,b1,female,aehplus,gait,nart,933," .02( .01), $p$=.05 *"," .09( .04), $p$=.05 *","( .00, .17)"," .09( .02, .15)"," .00( .00), $p$=.65  ","-.10( .22), $p$=.65  ","(-.53, .33)"," .00(-.06, .06)"," .01( .00), $p$<.01 **"," .08( .03), $p$<.01 **","( .03, .14)"," .08( .02, .15)"
semantic memory,map,b1,male,aehplus,gait,nart,321," .05( .02), $p$=.03 *"," .19( .08), $p$=.02 *","( .03, .36)"," .19( .09, .30)"," .00( .00), $p$=.56  "," .26( .48), $p$=.58  ","(-.67,1.20)"," .22( .12, .33)"," .00( .00), $p$=.70  "," .02( .04), $p$=.70  ","(-.06, .10)"," .02(-.09, .13)"
semantic memory,octo,b1,female,aehplus,gait,synonyms,268,"-1.40(2.17), $p$=.52  ","-.10( .15), $p$=.51  ","(-.39, .20)","-.10(-.22, .02)","-.22( .53), $p$=.68  ","-.48( .48), $p$=.31  ","(-1.42, .45)","-.49(-.57,-.39)","-1.22( .69), $p$=.08 .","-.14( .07), $p$=.04 *","(-.27,-.00)","-.14(-.25,-.02)"
semantic memory,octo,b1,male,aehplus,gait,synonyms,134,"-.87(1.52), $p$=.57  ","-.09( .16), $p$=.56  ","(-.41, .22)","-.09(-.26, .08)","-.02( .06), $p$=.65  ","-.63(1.90), $p$=.74  ","(-4.36,3.10)","-.63(-.72,-.51)","-.38( .49), $p$=.44  ","-.06( .08), $p$=.44  ","(-.23, .10)","-.06(-.23, .11)"
semantic memory,ilse,b1,female,aehplus,tug,waisgeneral,225," .16( .82), $p$=.85  ",---,---," .04(-.10, .17)"," .00( .01), $p$=.95  ",---,---," .00(-.13, .13)","-.07( .24), $p$=.76  ",---,---,"-.03(-.16, .10)"
semantic memory,ilse,b1,male,aehplus,tug,waisgeneral,252,"-.41( .47), $p$=.38  ",---,---,"-.24(-.35,-.12)","-.00( .01), $p$=.80  ",---,---,"-.27(-.38,-.15)","-.20( .19), $p$=.29  ",---,---,"-.09(-.21, .04)"
semantic memory,eas,b1,female,aehplus,gait,waisvocab,363,"51.98(22.89), $p$=.02 *"," .29( .12), $p$=.01 *","( .06, .51)"," .29( .19, .38)","1.53(1.26), $p$=.22  ","1.00(1.16), $p$=.39  ","(-1.27,3.26)","1.00(1.00,1.00)","-.85(3.63), $p$=.81  ","-.02( .07), $p$=.81  ","(-.16, .12)","-.02(-.12, .09)"
semantic memory,eas,b1,male,aehplus,gait,waisvocab,222,"6.94(29.02), $p$=.81  "," .04( .17), $p$=.81  ","(-.30, .38)"," .04(-.09, .17)","-.34(1.69), $p$=.84  ","-.34(1.82), $p$=.85  ","(-3.90,3.22)","-.34(-.45,-.22)","-3.81(6.28), $p$=.54  ","-.06( .10), $p$=.54  ","(-.26, .14)","-.06(-.19, .07)"
short-term memory,map,b1,female,aehplus,gait,bstory_im,935," .01( .01), $p$=.30  "," .07( .07), $p$=.29  ","(-.06, .21)"," .08( .01, .14)"," .00( .00), $p$=.28  "," .28( .26), $p$=.28  ","(-.23, .80)"," .16( .09, .22)"," .01( .00), $p$=.16  "," .04( .03), $p$=.16  ","(-.02, .09)"," .04(-.03, .10)"
short-term memory,map,b1,male,aehplus,gait,bstory_im,321," .05( .02), $p$<.01 **"," .36( .12), $p$<.01 **","( .12, .60)"," .36( .26, .45)"," .00( .00), $p$=.23  "," .73( .94), $p$=.44  ","(-1.12,2.58)"," .65( .59, .71)","-.01( .01), $p$=.06 .","-.07( .04), $p$=.06 .","(-.14, .00)","-.07(-.18, .04)"
short-term memory,eas,b1,female,aehplus,gait,digit_tot,363,"12.35(6.17), $p$=.04 *"," .24( .11), $p$=.03 *","( .02, .46)"," .24( .14, .34)"," .62( .35), $p$=.08 ."," .74( .40), $p$=.06 .","(-.05,1.52)"," .74( .69, .78)","-.24( .88), $p$=.79  ","-.02( .07), $p$=.79  ","(-.15, .12)","-.02(-.12, .08)"
short-term memory,eas,b1,male,aehplus,gait,digit_tot,222,"9.48(9.98), $p$=.34  "," .17( .17), $p$=.33  ","(-.17, .50)"," .17( .04, .29)"," .18( .40), $p$=.66  "," .39(1.04), $p$=.71  ","(-1.65,2.44)"," .39( .28, .50)","-.86(1.49), $p$=.56  ","-.06( .10), $p$=.56  ","(-.24, .13)","-.06(-.19, .08)"
short-term memory,map,b1,female,aehplus,gait,logic_im,935," .05( .02), $p$=.04 *"," .11( .05), $p$=.04 *","( .01, .20)"," .11( .04, .17)"," .00( .00), $p$=.02 *"," .43( .17), $p$=.01 *","( .10, .77)"," .33( .27, .38)"," .01( .01), $p$=.07 ."," .04( .02), $p$=.06 .","(-.00, .09)"," .04(-.02, .11)"
short-term memory,map,b1,male,aehplus,gait,logic_im,321," .08( .04), $p$=.04 *"," .22( .11), $p$=.04 *","( .00, .43)"," .22( .11, .32)"," .00( .00), $p$=.36  "," .78(1.12), $p$=.49  ","(-1.42,2.97)"," .63( .56, .69)","-.01( .01), $p$=.68  ","-.02( .04), $p$=.68  ","(-.10, .06)","-.02(-.13, .09)"
short-term memory,octo,b1,female,aehplus,gait,prose_im,269,"-1.31(1.09), $p$=.23  ","-.14( .12), $p$=.26  ","(-.37, .10)","-.14(-.25,-.02)","-.08( .10), $p$=.44  ","-.23( .08), $p$<.01 **","(-.38,-.08)","-.23(-.34,-.11)","-.40( .26), $p$=.13  ","-.06( .04), $p$=.13  ","(-.14, .02)","-.06(-.18, .06)"
short-term memory,octo,b1,male,aehplus,gait,prose_im,139,"-2.36(1.41), $p$=.09 .","-.36( .21), $p$=.09 .","(-.78, .06)","-.36(-.50,-.21)","-.00( .14), $p$=.99  ","-.05(3.62), $p$=.99  ","(-7.16,7.05)","-.05(-.22, .12)"," .57( .78), $p$=.47  "," .11( .15), $p$=.45  ","(-.18, .41)"," .11(-.05, .27)"
short-term memory,eas,b1,female,aehplus,gait,word_im,363,"11.87(11.82), $p$=.32  "," .15( .16), $p$=.32  ","(-.15, .46)"," .15( .05, .25)"," .29( .82), $p$=.73  "," .26( .76), $p$=.73  ","(-1.23,1.75)"," .26( .16, .36)","1.28(2.26), $p$=.57  "," .04( .08), $p$=.57  ","(-.11, .20)"," .04(-.06, .15)"
short-term memory,eas,b1,male,aehplus,gait,word_im,222,"11.33(13.26), $p$=.39  "," .17( .20), $p$=.39  ","(-.22, .57)"," .17( .04, .30)"," .09( .88), $p$=.92  "," .13(1.20), $p$=.92  ","(-2.22,2.48)"," .13(-.00, .25)","2.95(2.69), $p$=.27  "," .09( .08), $p$=.26  ","(-.07, .25)"," .09(-.04, .22)"
short-term memory,elsa,b1,female,aehplus,gait,word_im,2225," .04( .01), $p$<.01 ***"," .20( .05), $p$<.01 ***","( .11, .29)"," .20( .16, .24)"," .00( .00), $p$=.23  "," .25( .20), $p$=.21  ","(-.14, .65)",---," .01( .00), $p$=.09 ."," .03( .02), $p$=.09 .","(-.01, .07)"," .03(-.01, .07)"
short-term memory,elsa,b1,male,aehplus,gait,word_im,1947," .04( .01), $p$<.01 ***"," .22( .05), $p$<.01 ***","( .13, .32)"," .23( .18, .27)"," .00( .00), $p$=.58  ","-.11( .20), $p$=.59  ","(-.49, .28)",---,"-.00( .00), $p$=.49  ","-.01( .02), $p$=.48  ","(-.06, .03)","-.01(-.06, .03)"
short-term memory,hrs,b1,female,aehplus,gait,word_im,370," .04( .01), $p$=.01 *",---,---," .26( .16, .35)"," .00( .00), $p$=.44  ",---,---,---," .00( .01), $p$=.60  ",---,---," .02(-.08, .12)"
short-term memory,hrs,b1,male,aehplus,gait,word_im,318," .03( .02), $p$=.03 *",---,---," .27( .17, .37)"," .00( .00), $p$=.74  ",---,---," .00(-.11, .11)"," .00( .01), $p$=.82  ",---,---," .01(-.10, .12)"
short-term memory,lasa,b1,female,aehplus,gait,word_im,782,"-1.74( .67), $p$=.01 **","-.31( .18), $p$=.08 .","(-.67, .04)","-.31(-.37,-.25)","-.01( .01), $p$=.21  ","-.28( .19), $p$=.13  ","(-.65, .09)","-.28(-.34,-.22)","-.37( .28), $p$=.19  ","-.02( .02), $p$=.21  ","(-.06, .01)","-.02(-.09, .05)"
short-term memory,lasa,b1,male,aehplus,gait,word_im,800,"-1.12( .58), $p$=.05 .","-.27( .20), $p$=.17  ","(-.65, .11)","-.27(-.33,-.20)"," .00( .02), $p$=.85  "," .10( .49), $p$=.85  ","(-.87,1.06)"," .11( .04, .17)","-.08( .29), $p$=.77  ","-.01( .03), $p$=.77  ","(-.06, .04)","-.01(-.08, .06)"
short-term memory,map,b1,female,aehplus,gait,word_im,935," .13( .02), $p$<.01 ***"," .28( .05), $p$<.01 ***","( .18, .38)"," .28( .22, .34)"," .00( .00), $p$=.05 *"," .34( .17), $p$=.04 *","( .01, .68)"," .23( .17, .29)","-.00( .01), $p$=.80  ","-.01( .02), $p$=.80  ","(-.05, .04)","-.01(-.07, .06)"
short-term memory,map,b1,male,aehplus,gait,word_im,321," .07( .04), $p$=.04 *"," .22( .10), $p$=.03 *","( .02, .41)"," .21( .11, .32)"," .00( .00), $p$=.24  "," .62( .54), $p$=.25  ","(-.44,1.68)"," .48( .39, .56)"," .01( .01), $p$=.69  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.09, .13)"
verbal comprehension,map,b1,female,aehplus,gait,ideas,935," .01( .00), $p$=.01 **"," .16( .06), $p$=.01 **","( .04, .28)"," .15( .09, .22)"," .00( .00), $p$=.27  "," .22( .20), $p$=.27  ","(-.17, .62)"," .00(-.06, .06)"," .00( .00), $p$=.26  "," .03( .02), $p$=.26  ","(-.02, .07)"," .03(-.03, .10)"
verbal comprehension,map,b1,male,aehplus,gait,ideas,321," .01( .01), $p$=.15  "," .18( .08), $p$=.03 *","( .02, .34)"," .18( .08, .29)","-.00( .00), $p$=.46  ","-.18( .23), $p$=.44  ","(-.62, .27)","-.20(-.30,-.09)"," .00( .00), $p$=.80  "," .01( .05), $p$=.79  ","(-.08, .10)"," .02(-.09, .13)"
visual discrimination,map,b1,female,aehplus,gait,line,935," .08( .02), $p$<.01 ***"," .26( .06), $p$<.01 ***","( .15, .37)"," .26( .20, .32)"," .00( .00), $p$=.89  ","-.08( .64), $p$=.90  ","(-1.33,1.16)"," .00(-.06, .06)"," .00( .01), $p$=.54  "," .01( .02), $p$=.54  ","(-.03, .06)"," .02(-.05, .08)"
visual discrimination,map,b1,male,aehplus,gait,line,321," .04( .02), $p$=.10 ."," .15( .09), $p$=.09 .","(-.02, .32)"," .15( .04, .25)","-.00( .00), $p$=.22  ","-.66( .67), $p$=.32  ","(-1.97, .65)","-.44(-.53,-.35)"," .02( .01), $p$=.06 ."," .08( .04), $p$=.06 .","(-.00, .16)"," .08(-.03, .18)"
visual discrimination,ilse,b1,female,aehplus,tug,piccomp,225," .27( .84), $p$=.75  ",---,---," .08(-.05, .21)"," .00( .01), $p$=.90  ",---,---," .17( .04, .30)","-.10( .31), $p$=.74  ",---,---,"-.03(-.16, .10)"
visual discrimination,ilse,b1,male,aehplus,tug,piccomp,252,"-.32( .47), $p$=.50  ",---,---,"-.23(-.35,-.11)"," .00( .01), $p$=.98  ",---,---," .00(-.12, .12)","-.07( .28), $p$=.79  ",---,---,"-.03(-.15, .10)"
working memory,map,b1,female,aehplus,gait,digit_b,935," .06( .01), $p$<.01 ***"," .26( .05), $p$<.01 ***","( .15, .36)"," .26( .20, .32)"," .00( .00), $p$=.08 ."," .48( .29), $p$=.09 .","(-.08,1.04)"," .35( .30, .41)","-.00( .00), $p$=.47  ","-.02( .03), $p$=.47  ","(-.07, .03)","-.02(-.08, .05)"
working memory,map,b1,male,aehplus,gait,digit_b,321," .06( .02), $p$=.01 **"," .26( .10), $p$=.01 **","( .08, .45)"," .27( .16, .37)"," .00( .00), $p$=.68  "," .24( .58), $p$=.68  ","(-.89,1.38)"," .21( .10, .31)"," .00( .01), $p$=.96  "," .00( .04), $p$=.96  ","(-.09, .09)"," .00(-.11, .11)"
working memory,octo,b1,female,aehplus,gait,digit_b,276,"-.76( .31), $p$=.01 *","-.30( .11), $p$<.01 **","(-.51,-.10)","-.30(-.41,-.19)"," .01( .04), $p$=.75  "," .23( .46), $p$=.61  ","(-.66,1.13)"," .27( .15, .37)"," .11( .21), $p$=.60  "," .03( .06), $p$=.58  ","(-.08, .14)"," .03(-.09, .15)"
working memory,octo,b1,male,aehplus,gait,digit_b,139,"-.46( .47), $p$=.33  ","-.22( .22), $p$=.32  ","(-.64, .21)","-.22(-.37,-.05)","-.02( .03), $p$=.45  ","-.59( .88), $p$=.51  ","(-2.32,1.15)","-.58(-.68,-.46)","-.11( .27), $p$=.69  ","-.04( .11), $p$=.69  ","(-.26, .17)","-.04(-.21, .12)"
working memory,map,b1,female,aehplus,gait,digit_o,935," .02( .01), $p$<.01 **"," .17( .06), $p$<.01 **","( .05, .28)"," .17( .11, .23)"," .00( .00), $p$=.74  ","-.08( .25), $p$=.74  ","(-.57, .41)"," .00(-.06, .06)"," .00( .00), $p$=.92  "," .00( .02), $p$=.92  ","(-.05, .05)"," .00(-.06, .06)"
working memory,map,b1,male,aehplus,gait,digit_o,320," .02( .02), $p$=.21  "," .14( .10), $p$=.19  ","(-.07, .34)"," .14( .03, .24)","-.00( .00), $p$=.74  ","-.31(1.18), $p$=.79  ","(-2.61,2.00)","-.41(-.50,-.31)","-.00( .01), $p$=.92  ","-.00( .04), $p$=.92  ","(-.08, .07)","-.01(-.12, .10)"
