process_b_domain,study,model_number,subgroup,model_type,process_a,process_b,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
fluency,eas,b1,male,aehplus,gait,fas,222,"26.13(28.93), $p$=.37  "," .15( .16), $p$=.37  ","(-.17, .47)"," .15( .02, .27)"," .81(1.55), $p$=.60  "," .56(1.22), $p$=.65  ","(-1.84,2.95)"," .55( .46, .64)"," .86(4.62), $p$=.85  "," .02( .10), $p$=.85  ","(-.17, .21)"," .02(-.11, .15)"
fluency,elsa,b1,female,aehplus,gait,fluency,2226," .16( .03), $p$<.01 ***"," .20( .04), $p$<.01 ***","( .13, .27)"," .20( .16, .24)"," .00( .00), $p$=.20  "," .17( .13), $p$=.20  ","(-.09, .43)",---," .02( .01), $p$=.09 ."," .04( .02), $p$=.09 .","(-.01, .08)"," .03(-.01, .08)"
fluency,elsa,b1,male,aehplus,gait,fluency,1947," .20( .03), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .18, .27)"," .00( .00), $p$=.28  "," .16( .15), $p$=.29  ","(-.14, .46)",---,"-.01( .01), $p$=.34  ","-.02( .02), $p$=.34  ","(-.06, .02)","-.02(-.06, .02)"
fluency,ilse,b1,female,aehplus,tug,fluency,225," .11(1.56), $p$=.94  ",---,---," .01(-.12, .15)"," .00( .02), $p$=.80  ",---,---," .49( .38, .58)","-.66( .70), $p$=.34  ",---,---,"-.10(-.23, .03)"
fluid reasoning,eas,b1,female,aehplus,gait,block,351,"16.75(14.11), $p$=.23  "," .13( .10), $p$=.22  ","(-.08, .33)"," .13( .02, .23)"," .19( .84), $p$=.82  "," .08( .36), $p$=.82  ","(-.63, .80)"," .08(-.02, .19)","1.10(2.26), $p$=.62  "," .03( .06), $p$=.62  ","(-.09, .15)"," .03(-.07, .14)"
fluid reasoning,eas,b1,male,aehplus,gait,block,210,"45.46(19.66), $p$=.02 *"," .33( .15), $p$=.02 *","( .04, .62)"," .33( .20, .44)"," .22(1.21), $p$=.86  "," .31(1.70), $p$=.85  ","(-3.01,3.64)"," .31( .19, .43)","-3.20(3.46), $p$=.35  ","-.08( .08), $p$=.34  ","(-.24, .08)","-.08(-.21, .06)"
fluid reasoning,ilse,b1,female,aehplus,tug,block,225,"-.37(1.33), $p$=.78  ",---,---,"-.05(-.18, .08)","-.00( .01), $p$=.92  ",---,---,"-.15(-.27,-.02)"," .25( .47), $p$=.60  ",---,---," .05(-.08, .18)"
fluid reasoning,ilse,b1,male,aehplus,tug,block,252,"-1.75(1.14), $p$=.12  ",---,---,"-.43(-.53,-.33)"," .00( .02), $p$=.90  ",---,---," .13( .01, .25)"," .25( .53), $p$=.64  ",---,---," .04(-.08, .17)"
fluid reasoning,octo,b1,female,aehplus,gait,block,273,"-8.56(3.00), $p$<.01 **","-.44( .13), $p$<.01 ***","(-.68,-.19)","-.44(-.53,-.33)","-.21( .63), $p$=.74  ","-.49( .62), $p$=.42  ","(-1.70, .72)","-.49(-.58,-.40)","-1.66( .66), $p$=.01 *","-.15( .05), $p$<.01 **","(-.25,-.05)","-.15(-.26,-.03)"
fluid reasoning,octo,b1,male,aehplus,gait,block,137,"-4.56(1.81), $p$=.01 *","-.40( .14), $p$<.01 **","(-.67,-.13)","-.40(-.53,-.24)","-.04( .10), $p$=.69  ","-.73(2.52), $p$=.77  ","(-5.66,4.20)","-.74(-.81,-.65)","-.78( .74), $p$=.29  ","-.10( .09), $p$=.28  ","(-.29, .08)","-.10(-.27, .07)"
